No.,Pant,Shirt,Sweater,Towel,T-shirt,Accuracy
538,2.6294293870927117,1.9768883261865557,0.00017670595059017137,2.5114555788502493,5.538067355842092,99.81447124304268
539,2.6251482786773535,1.9782292909019634,0.000214570967603162,2.5145344626147974,5.536114596024194,99.81481481481481
540,2.6266701740579173,1.9788287571365075,0.00019395644926055843,2.5120596701620244,5.534942989534968,99.81515711645102
541,2.625370042804464,1.9806826232992019,0.00019725033896910652,2.511143991974493,5.531845788387296,99.81549815498155
542,2.6252313674698184,1.980787669532445,0.00019816317452957683,2.5111650258696527,5.531675985146868,99.8158379373849
543,2.629254507915917,1.9792125298310475,0.00016513389642781068,2.508677193057281,5.534058442868695,99.81617647058823
544,2.633729736974563,1.9783075111186068,0.00012811897478016596,2.504841207768672,5.535254780824534,99.81651376146789
545,2.630814255633684,1.9796838628498274,0.00014783474140538758,2.50633393645613,5.533113671413849,99.81684981684981
546,2.63322264481715,1.9783292123130967,0.00013245857559268813,2.505378249029146,5.535258304269919,99.81718464351006
547,2.6293374829739458,1.9790148445840219,0.00016536380283262465,2.5088371390352866,5.534393473294451,99.81751824817519
548,2.62782045039767,1.980366952088477,0.0001734257119095658,2.5088050033246736,5.532182446688808,99.81785063752277
549,2.629293982971202,1.9815857082086006,0.000153398680937354,2.505604095938463,5.529952930814674,99.81818181818181
550,2.628415919622446,1.9839251785969008,0.00015234710828885233,2.503604171545578,5.525986816953781,99.8185117967332
551,2.626839947719678,1.9857766974542075,0.00016060564623756528,2.503007171649354,5.522923025886183,99.81884057971014
552,2.62552838341092,1.9860255425583189,0.00017208015107751038,2.5041541447202875,5.522602264192774,99.81916817359856
553,2.6249439707012687,1.98531788180181,0.00018022955943917983,2.505707026004993,5.523871812248765,99.81949458483754
554,2.626104721214288,1.9844355230716317,0.0001721965734265675,2.50553355267136,5.525297329882591,99.81981981981983
555,2.6242993399468464,1.985849163864568,0.00018466483941924377,2.5057512792783205,5.52300929888132,99.82014388489209
556,2.6209542834485053,1.9889724680507295,0.00020803838686389207,2.5055202872779363,5.51790608454072,99.82046678635548
557,2.6229294902457014,1.9870804863254856,0.00019405037292099478,2.5057162011042196,5.5210007900593,99.82078853046595
558,2.6206155110063927,1.9862144013471588,0.00022183605861692663,2.5094099279016207,5.522694468513563,99.82110912343471
559,2.6191526046414504,1.9859481653869346,0.0002395306268693001,2.511391000287197,5.523283045583426,99.82142857142857
560,2.6189149342723157,1.9830689246847293,0.0002577596716942735,2.5153385520670604,5.528285838780097,99.8217468805704
561,2.616604204407124,1.983055618165226,0.0002869802886183467,2.5179587536743293,5.528520527606239,99.8220640569395
562,2.6152470157904553,1.980608228650123,0.0003227632233735176,2.522634710521201,5.532894621544157,99.82238010657194
563,2.6135133249310916,1.9819701460307857,0.00033663748796639866,2.522844590293205,5.530695149695679,99.822695035461
564,2.611869721173634,1.983667223501509,0.00034740575135539176,2.5225239734996703,5.527907061253435,99.82300884955752
565,2.611459792104876,1.9835145106764924,0.0003544422951294006,2.5231844972263064,5.528211732626088,99.82332155477032
566,2.612337911580746,1.9841968380879411,0.0003369771510850322,2.52131389826395,5.526943182688043,99.82363315696648
567,2.6138792654250156,1.9828984370930243,0.00032462890054122675,2.5212376348703485,5.529048826816713,99.82394366197182
568,2.6181104257169716,1.9808042432505788,0.00028270859333414164,2.5191486836218737,5.532285199099825,99.82425307557118
569,2.616779802272632,1.9831601224673305,0.00028403463355065954,2.5176267752630155,5.528323159856722,99.82456140350877
570,2.611629051211529,1.9858354321697038,0.0003358979954476411,2.5200137531869062,5.524169632935031,99.82486865148861
571,2.6116634318949865,1.9852811404938924,0.00033905499339411624,2.520685633623126,5.525127221339626,99.82517482517483
572,2.611866639522004,1.9844539013663367,0.0003418351468421662,2.521517191932223,5.526542394492916,99.82547993019197
573,2.613068254876563,1.9836865097171874,0.00033031795157943277,2.5211428530947257,5.527758735050269,99.82578397212544
574,2.613895973840574,1.9832071706870078,0.00032220480300394516,2.5208222957261692,5.528511585903541,99.82608695652175
575,2.6161333366551727,1.9834186482803464,0.0002907566644790883,2.5180244356771713,5.527934951879594,99.82638888888889
576,2.617428215380852,1.9831758998645177,0.00027564000701335947,2.516875690044079,5.528236104948355,99.8266897746967
577,2.6198522817597976,1.980684547167571,0.000261340740070013,2.517339249536157,5.53233263661775,99.82698961937716
578,2.6262379985976123,1.9773499581423055,0.00020811389336795874,2.5144394702253523,5.53754331426134,99.8272884283247
579,2.6298292333140463,1.9775427671944565,0.0001686895620484321,2.510170357231022,5.536899917852602,99.82758620689656
580,2.6302972763937773,1.978152067167721,0.00016059561579385783,2.5088678188887483,5.535805833681053,99.82788296041308
581,2.629164985263796,1.9793610015974008,0.00016523676115127534,2.5085874864621687,5.533809122275277,99.82817869415808
582,2.628957544819083,1.9789390650952396,0.00016955555843233268,2.509358663261989,5.53455659569668,99.82847341337907
583,2.6302669383962938,1.977645590902742,0.00016372745172704874,2.509549530177313,5.536684999154794,99.82876712328768
584,2.6318152211033414,1.9774801601505043,0.00014966174044199604,2.5080320674652747,5.536842090005587,99.82905982905983
585,2.6336067382365593,1.9776245068795328,0.00013249275925247798,2.5058500393466994,5.536445437639161,99.82935153583618
586,2.633013931723093,1.9799522261101719,0.0001270327861014643,2.5035408555174445,5.532471105608251,99.82964224872232
587,2.6312770727208212,1.9801994092579303,0.00014123360723796135,2.505160220593832,5.53218483804839,99.82993197278913
588,2.6332075069702947,1.979213064507715,0.00012853295517207706,2.50426756904091,5.533732195585401,99.830220713073
589,2.6329934139262248,1.9779906691942732,0.00013614792326640998,2.5060658444648305,5.5358622210999116,99.83050847457628
590,2.632355679540706,1.9796586739035151,0.00013400295457505925,2.5046479396109333,5.533031240345375,99.83079526226734
591,2.6322493980400186,1.979526216980712,0.00013553274464006478,2.504935247610594,5.533268705258231,99.83108108108108
592,2.6325924032108223,1.9796881520906644,0.00013179698321973395,2.5043467113165407,5.532961154535253,99.83136593591905
593,2.635445337275498,1.9786038240408939,0.00011242015236117454,2.502554888271653,5.534605833340243,99.83164983164983
594,2.634773694971633,1.980121097140691,0.00011184125555267791,2.5013689652673428,5.532039666095938,99.83193277310924
595,2.6352874893315255,1.981046618106558,0.00010464407342316239,2.4996212650638414,5.530403058211692,99.83221476510067
