Name,mean_x,mean_y,std_x,std_y
1,0.6908601466674978,0.26436614624742005,0.4077316773738831,0.43159792062815433
2,-1.8256751577659613,1.3042238750888242,0.48690276751180556,0.36006470468023094
3,-0.4290675393709292,1.4527591419095793,0.38620993226911376,0.3692881967779722
4,0.11672914080425269,2.928628524310059,0.39237937679710805,0.4487379549825014
5,1.9031275938306418,1.7748472935126887,0.41266841332743687,0.36275170473443963
6,0.5879105038125999,0.34285361753155785,0.4888407327925457,0.5761064350758417
7,-1.8869029917761995,1.2537392946581045,0.4910869554792472,0.35391844153488117
8,-0.424320749254742,1.4435781170179447,0.41826038845134705,0.410679484418855
9,0.21244454775548852,2.7706921044985453,0.46733678505646714,0.5081629670102956
10,1.4328510299006787,1.3964406927054127,0.6220811938616221,0.44996846476277297
