no,x,y,z,begin
no,x,y,z,begin
0,0.970705,-0.186662,0.0109931,normal
1,0.968175,-0.144013,0.0186161,normal
2,0.95168,-0.184987,0.00333031,normal
3,0.905297,-0.127072,0.000370651,normal
4,0.905982,-0.118437,0.00622199,normal
5,0.876755,-0.289904,-0.00915423,normal
6,0.884775,-0.270173,0.00699136,normal
7,0.898011,-0.133176,-0.0114235,normal
8,0.897145,-0.117137,0.0122543,normal
9,0.873527,-0.296292,-0.0202386,normal
10,0.893417,-0.136995,-0.0208753,normal
11,0.679108,-0.314491,-0.0889977,normal
12,0.622477,0.251312,-0.129128,normal
13,0.621041,0.255812,-0.12983,normal
14,0.635167,-0.366561,-0.10549,normal
15,0.659162,-0.334121,-0.0971775,normal
16,0.594502,0.246083,-0.111743,normal
17,0.592108,0.264828,-0.114727,normal
18,0.613348,0.251549,-0.129193,normal
19,0.598159,0.265253,-0.127152,normal
20,0.515897,0.466222,0.540996,normal
21,0.510323,0.4689,0.521323,normal
22,0.548069,-0.0750227,0.0353825,normal
23,0.551186,-0.106994,-0.00679192,normal
24,0.555442,-0.0758668,0.00512104,normal
25,0.547972,-0.046912,-0.00477797,normal
26,0.555544,-0.112627,-0.0441438,normal
27,0.569535,-0.0750589,-0.0427484,normal
28,0.555797,-0.0398595,-0.0457879,normal
29,0.609543,-0.398913,-0.110351,normal
30,0.601255,-0.392157,-0.112643,normal
31,0.558907,-0.113899,-0.0905223,normal
32,0.579556,-0.0760836,-0.087013,normal
33,0.56309,-0.0301063,-0.0890627,normal
34,0.594052,-0.393688,-0.119157,normal
35,0.556449,-0.11523,-0.121542,normal
36,0.482037,0.468825,0.546063,normal
37,0.481045,0.470476,0.507477,normal
38,0.468602,0.483869,0.476539,normal
39,0.457876,0.493701,0.466806,normal
40,0.499013,-0.0891171,0.184165,normal
41,0.505246,-0.111922,0.143984,normal
42,0.505787,-0.0815978,0.154773,normal
43,0.497208,-0.0527496,0.141703,normal
44,0.516145,-0.114009,0.10498,normal
45,0.520288,-0.0795025,0.107277,normal
46,0.504295,-0.0479785,0.103878,normal
47,0.530414,-0.117358,0.0558449,normal
48,0.536253,-0.0785849,0.0582765,normal
49,0.516167,-0.0425191,0.0560876,normal
50,0.50473,-0.157382,-0.0165371,normal
51,0.538625,-0.123842,0.00756609,normal
52,0.543,-0.0832264,0.0247387,normal
53,0.528671,-0.037036,0.009068,normal
54,0.512953,-0.157256,-0.0399398,normal
55,0.535514,-0.138288,-0.0397568,normal
56,0.53288,-0.0243062,-0.0383249,normal
57,0.505443,-0.157257,-0.089754,normal
58,0.530558,-0.140108,-0.0951611,normal
59,0.53535,-0.0143078,-0.0790361,normal
60,0.542478,-0.132112,-0.120251,normal
61,0.500544,-0.037482,-0.142784,normal
no,x,y,z,end
no,x,y,z,begin
0,0.90495,0.0216741,0.0312394,normal
1,0.90538,0.0189895,0.0189831,normal
2,0.894724,0.0339197,0.00951003,normal
3,0.888186,0.0224748,0.0151448,normal
4,0.887677,0.0262589,0.0172423,normal
5,0.842074,0.191221,-0.0121455,normal
6,0.836856,0.198131,-0.0236125,normal
7,0.820409,0.210681,-0.0329879,normal
8,0.595535,-0.0590066,-0.101554,normal
9,0.508395,0.465248,0.532472,normal
10,0.510863,0.468596,0.519844,normal
11,0.548303,-0.0778115,0.0358926,normal
12,0.551796,-0.106723,-0.00397846,normal
13,0.555843,-0.0763341,0.00544973,normal
14,0.549524,-0.0468706,-0.00526832,normal
15,0.557215,-0.113332,-0.0433075,normal
16,0.570351,-0.0753259,-0.0428354,normal
17,0.555611,-0.0396988,-0.0463533,normal
18,0.559737,-0.114711,-0.0910866,normal
19,0.580808,-0.0757217,-0.0871038,normal
20,0.563654,-0.0311369,-0.0906283,normal
21,0.551673,-0.125349,-0.120292,normal
22,0.563343,-0.0392025,-0.120195,normal
23,0.474048,0.467266,0.538307,normal
24,0.501938,-0.102865,0.484255,normal
25,0.480532,0.471092,0.507306,normal
26,0.505023,-0.108432,0.481046,normal
27,0.502034,-0.0966953,0.479966,normal
28,0.466664,0.483872,0.476985,normal
29,0.457899,0.493452,0.467555,normal
30,0.499023,-0.0854181,0.185756,normal
31,0.505572,-0.111846,0.142796,normal
32,0.505909,-0.0818273,0.15531,normal
33,0.497353,-0.0523652,0.141474,normal
34,0.517099,-0.113918,0.10531,normal
35,0.520958,-0.0794038,0.107326,normal
36,0.504289,-0.047896,0.104346,normal
37,0.530461,-0.117652,0.0555546,normal
38,0.536598,-0.0783667,0.0585827,normal
39,0.516965,-0.0429237,0.0562226,normal
40,0.539918,-0.123736,0.00787595,normal
